age,income_range,risk_profile,occupation,age_range_sturges,primer_producto,segundo_producto,dias_entre_productos,antiguedad_cliente,checking_account,savings_account,credit_card,investment,numero_productos,combinacion_productos,entertainment_count,food_count,health_count,shopping_count,supermarket_count,transport_count,travel_count,transacciones_promedio_mensual.x,variacion_mensual_promedio.x,variacion_mensual_promedio_pct.x,n_meses_activos,recencia_transaccion,categoria_favorita_monto,total_spend_fav,fecha_primer_producto_ts,fecha_segundo_producto_ts,mes_mas_compras.x_ts,mes_mayor_monto.x_ts
37,2,1,18,2,4,4,0.0,914,False,True,False,False,1,7,1,8,1,2,3,0,0,1.875,-19.2028571428571,0.347315576277765,8,4,1,6.258414435359401,1625097600000000000,-2208988800000000000,1672531200000000000,1672531200000000000
34,1,0,85,2,0,4,0.0,862,True,False,False,False,1,0,0,3,1,1,1,0,1,1.4,179.8075,0.794715542275187,5,38,6,6.743717549632739,1629590400000000000,-2208988800000000000,1675209600000000000,1698796800000000000
21,1,0,9,0,0,4,0.0,991,True,False,False,False,1,0,4,1,1,0,4,3,0,1.625,-15.91,3.6634131030649,8,80,4,6.094156505331528,1618444800000000000,-2208988800000000000,1672531200000000000,1693526400000000000
46,3,2,57,4,4,1,839.0,1403,False,True,True,False,2,4,0,2,0,2,1,3,1,1.5,116.198,2.92209785237932,6,50,6,6.526245926686203,1582848000000000000,1655337600000000000,1675209600000000000,1698796800000000000
24,3,2,17,0,0,2,104.0,1017,True,False,False,False,2,2,1,1,2,1,3,1,0,1.28571428571429,-9.54333333333333,0.54566339353697,7,1,2,6.337215035888489,1616198400000000000,1625184000000000000,1672531200000000000,1698796800000000000
42,2,1,5,3,0,4,0.0,739,True,False,False,False,1,0,1,2,0,0,5,2,0,1.66666666666667,-8.812,0.39155781753433,6,115,4,6.42262989006596,1640217600000000000,-2208988800000000000,1688169600000000000,1688169600000000000
70,2,1,62,7,4,4,0.0,1033,False,True,False,False,1,7,1,2,1,1,4,0,1,1.66666666666667,-4.12200000000001,1.91167006630822,6,4,6,6.680427988021596,1614816000000000000,-2208988800000000000,1701388800000000000,1680307200000000000
45,1,0,4,4,3,5,460.0,967,False,True,False,True,2,6,3,1,2,3,3,3,0,1.66666666666667,-13.40875,9.71199578419104,9,45,5,5.821269170111868,1620518400000000000,1660262400000000000,1685577600000000000,1685577600000000000
67,3,2,88,7,4,4,0.0,1372,False,True,False,False,1,7,0,2,3,0,1,2,0,1.14285714285714,-13.9566666666667,1.09772717962709,7,40,2,6.755070191316489,1585526400000000000,-2208988800000000000,1682899200000000000,1693526400000000000
58,0,2,74,6,4,1,509.0,1416,False,True,True,False,2,4,4,1,1,1,2,1,0,1.25,11.6071428571429,0.340321629724004,8,2,0,6.03526609833723,1581724800000000000,1625702400000000000,1698796800000000000,1701388800000000000
25,2,1,27,1,4,4,0.0,775,False,True,False,False,1,7,1,2,1,0,1,2,3,1.11111111111111,231.42375,3.83591784869362,9,5,6,8.337166599175433,1637107200000000000,-2208988800000000000,1685577600000000000,1701388800000000000
67,2,1,31,7,0,4,0.0,753,True,False,False,False,1,0,4,1,3,1,3,1,2,2.14285714285714,-11.7533333333334,4.9589091894052,7,9,6,7.595467718052037,1639008000000000000,-2208988800000000000,1688169600000000000,1677628800000000000
47,0,2,22,4,0,3,805.0,1222,True,False,False,True,2,3,2,1,0,2,3,1,0,1.28571428571429,-18.8483333333333,0.57750179114906,7,69,4,6.145065075629759,1598486400000000000,1668038400000000000,1693526400000000000,1693526400000000000
26,3,2,16,1,1,5,200.0,888,False,True,True,False,2,4,3,0,1,2,1,1,0,1.33333333333333,13.8,0.443788031931644,6,66,0,5.796999556367335,1627344000000000000,1644624000000000000,1693526400000000000,1693526400000000000
19,1,0,63,0,2,5,245.0,791,False,True,False,False,2,5,0,3,1,1,2,1,1,1.5,-70.928,15.056696514639,6,37,6,6.579723322770498,1635724800000000000,1656892800000000000,1698796800000000000,1677628800000000000
63,3,2,43,6,0,2,32.0,728,True,False,False,False,2,2,1,2,2,4,3,2,1,1.5,-21.8288888888889,1.25586213422535,10,16,6,7.252904051082247,1641168000000000000,1643932800000000000,1672531200000000000,1690848000000000000
32,2,1,89,2,0,4,0.0,1284,True,False,False,False,1,0,1,3,0,0,2,0,0,1.0,16.118,1.45387117392742,6,59,4,5.483426700544313,1593129600000000000,-2208988800000000000,1672531200000000000,1675209600000000000
52,0,2,58,5,4,1,450.0,1050,False,True,True,False,2,4,1,1,1,1,2,0,1,1.0,28.45,1.8262585763976,7,57,4,5.41761037273602,1613347200000000000,1652227200000000000,1675209600000000000,1677628800000000000
52,1,0,54,5,4,4,0.0,702,False,True,False,False,1,7,0,2,1,4,3,2,1,1.44444444444444,-0.0612499999999976,1.89857892199273,9,33,6,7.573962824286131,1643414400000000000,-2208988800000000000,1680307200000000000,1677628800000000000
37,3,2,5,2,2,5,387.0,963,False,True,False,False,2,5,1,2,3,2,3,3,1,1.875,-28.9257142857143,1.92711121139875,8,36,6,7.195239831928225,1620864000000000000,1654300800000000000,1675209600000000000,1693526400000000000
65,2,1,83,7,4,1,235.0,1005,False,True,True,False,2,4,1,0,2,3,2,3,0,1.57142857142857,-84.2966666666667,0.103679792236787,7,4,2,6.454097328272487,1617235200000000000,1637539200000000000,1672531200000000000,1672531200000000000
41,2,1,80,3,0,4,0.0,1182,True,False,False,False,1,0,0,1,1,4,0,0,1,1.4,33.7775,3.22155246520919,5,98,6,7.310603633040465,1601942400000000000,-2208988800000000000,1672531200000000000,1682899200000000000
53,2,1,33,5,0,4,0.0,776,True,False,False,False,1,0,1,1,3,1,2,0,0,1.6,181.255,3.50718289259994,5,81,2,6.9159912699068515,1637020800000000000,-2208988800000000000,1696118400000000000,1696118400000000000
18,2,1,90,0,0,4,0.0,944,True,False,False,False,1,0,0,3,1,0,6,1,0,1.375,-1.76142857142858,2.55096786234679,8,44,4,6.223964193346217,1622505600000000000,-2208988800000000000,1696118400000000000,1696118400000000000
30,0,2,84,1,3,0,260.0,812,True,False,False,True,2,3,2,5,0,0,1,4,0,1.5,4.38571428571429,2.25219960671343,8,20,1,5.5647885705974245,1633910400000000000,1656374400000000000,1675209600000000000,1675209600000000000
26,2,1,52,1,0,4,0.0,647,True,False,False,False,1,0,0,4,2,3,3,1,0,1.3,10.9311111111111,0.572369491377786,10,9,1,5.951527577504281,1648166400000000000,-2208988800000000000,1682899200000000000,1693526400000000000
66,3,2,7,7,0,4,0.0,1289,True,False,False,False,1,0,3,3,0,2,1,1,0,1.42857142857143,-2.24333333333333,0.402331409303567,7,3,0,5.563562093880882,1592697600000000000,-2208988800000000000,1675209600000000000,1690848000000000000
25,2,1,32,1,4,4,0.0,675,False,True,False,False,1,7,1,0,0,1,2,0,0,1.33333333333333,-5.115,2.72847457785437,3,57,4,5.47369822566266,1645747200000000000,-2208988800000000000,1677628800000000000,1677628800000000000
49,1,0,81,4,4,3,530.0,929,False,True,False,True,2,6,2,1,4,2,2,1,2,1.55555555555556,-90.12125,-0.040302907370414,9,21,6,7.291090654183014,1623801600000000000,1669593600000000000,1675209600000000000,1675209600000000000
24,2,1,35,0,4,4,0.0,791,False,True,False,False,1,7,0,1,2,0,3,1,1,1.14285714285714,24.5416666666667,5.73240099389645,7,84,6,6.483443686327593,1635724800000000000,-2208988800000000000,1696118400000000000,1693526400000000000
61,3,2,56,6,4,4,0.0,1183,False,True,False,False,1,7,1,2,0,2,2,0,0,1.75,-42.4766666666667,0.106827776227925,4,43,1,5.552028919428664,1601856000000000000,-2208988800000000000,1682899200000000000,1682899200000000000
32,2,1,52,2,4,4,0.0,924,False,True,False,False,1,7,1,0,2,3,3,1,0,1.25,-46.4814285714286,-0.0554644301851786,8,24,2,6.37505889079793,1624233600000000000,-2208988800000000000,1672531200000000000,1672531200000000000
52,2,1,3,5,0,4,0.0,1281,True,False,False,False,1,0,1,1,4,2,3,2,0,1.625,8.79571428571431,3.92892357003349,8,18,2,7.03881862849228,1593388800000000000,-2208988800000000000,1696118400000000000,1696118400000000000
56,2,1,37,5,0,1,651.0,1267,True,False,True,False,2,1,3,1,2,1,3,2,0,2.0,20.97,0.777054248167633,6,102,2,5.970470710603746,1594598400000000000,1650844800000000000,1685577600000000000,1690848000000000000
46,1,0,38,4,4,1,675.0,1148,False,True,True,False,2,4,0,3,4,3,1,1,1,1.85714285714286,177.88,4.13535391665363,7,37,6,7.113842189326354,1604880000000000000,1663200000000000000,1680307200000000000,1698796800000000000
62,0,2,30,6,0,1,358.0,1020,True,False,True,False,2,1,3,4,0,3,6,3,0,1.58333333333333,32.1463636363636,2.10437378254158,12,1,4,6.591344459697484,1615939200000000000,1646870400000000000,1701388800000000000,1701388800000000000
25,3,2,82,1,2,0,119.0,591,True,False,False,False,2,2,2,4,1,1,1,2,0,1.375,1.10857142857143,0.78715290402159,8,11,0,5.54087131138207,1653004800000000000,1663286400000000000,1672531200000000000,1680307200000000000
67,1,0,55,7,2,5,525.0,1027,False,True,False,False,2,5,0,2,1,1,2,2,1,1.8,-7.39500000000001,1.81874182528993,5,21,6,7.296365810020653,1615334400000000000,1660694400000000000,1680307200000000000,1688169600000000000
44,2,1,72,3,0,4,0.0,1446,True,False,False,False,1,0,1,0,0,3,0,1,0,1.25,-30.7266666666667,-0.234835824621467,4,91,5,4.821248839580179,1579132800000000000,-2208988800000000000,1680307200000000000,1693526400000000000
49,2,1,29,4,0,4,0.0,820,True,False,False,False,1,0,0,0,0,2,3,2,2,1.28571428571429,4.00999999999999,1.23889563527526,7,24,6,7.272898267611698,1633219200000000000,-2208988800000000000,1693526400000000000,1677628800000000000
61,2,1,26,6,4,4,0.0,1201,False,True,False,False,1,7,1,1,3,0,5,1,2,1.44444444444444,14.18125,2.35294425775454,9,19,6,7.370923097218591,1600300800000000000,-2208988800000000000,1680307200000000000,1688169600000000000
68,3,2,61,7,0,1,382.0,999,True,False,True,False,2,1,1,0,0,1,5,2,3,1.71428571428571,-11.42,4.30021389257786,7,22,6,7.901514330712219,1617753600000000000,1650758400000000000,1672531200000000000,1696118400000000000
18,2,1,15,0,0,4,0.0,773,True,False,False,False,1,0,2,4,0,0,1,0,1,1.33333333333333,-37.086,4.88154668502053,6,4,6,7.404534715314723,1637280000000000000,-2208988800000000000,1672531200000000000,1685577600000000000
48,2,1,68,4,0,4,0.0,803,True,False,False,False,1,0,1,3,1,2,3,0,0,1.42857142857143,-43.565,0.593258919251718,7,32,2,5.999779878711696,1634688000000000000,-2208988800000000000,1688169600000000000,1672531200000000000
23,3,2,23,0,4,4,0.0,486,False,True,False,False,1,7,1,4,1,0,2,3,0,1.57142857142857,19.2633333333333,0.241529190152632,7,2,1,6.088886132689151,1662076800000000000,-2208988800000000000,1701388800000000000,1690848000000000000
68,1,0,53,7,3,0,30.0,995,True,False,False,True,2,3,1,3,1,0,6,2,1,1.75,50.0771428571429,2.16982349073658,8,14,4,6.7322822176170165,1618099200000000000,1620691200000000000,1693526400000000000,1677628800000000000
42,2,1,59,3,0,4,0.0,1236,True,False,False,False,1,0,2,4,2,1,4,4,1,2.0,22.94875,1.90405078293906,9,49,6,6.779546837142169,1597276800000000000,-2208988800000000000,1677628800000000000,1680307200000000000
40,1,0,39,3,3,5,262.0,1089,False,True,False,True,2,6,2,3,2,2,3,1,0,1.85714285714286,-34.24,-0.02692138852411,7,7,2,6.237425783702638,1609977600000000000,1632614400000000000,1672531200000000000,1680307200000000000
58,2,1,54,6,4,4,0.0,1255,False,True,False,False,1,7,0,2,1,3,3,1,0,2.0,-0.134999999999991,0.876324868698373,5,15,4,6.072306934952083,1595635200000000000,-2208988800000000000,1688169600000000000,1688169600000000000
33,0,2,51,2,0,4,0.0,1328,True,False,False,False,1,0,0,0,0,2,0,3,0,1.0,12.9325,1.30028313737834,5,17,5,4.772462703762286,1589328000000000000,-2208988800000000000,1672531200000000000,1701388800000000000
57,1,0,34,5,0,4,0.0,1340,True,False,False,False,1,0,1,1,0,1,7,1,0,1.83333333333333,-1.72400000000001,0.348078571126125,6,25,4,6.551637322754089,1588291200000000000,-2208988800000000000,1696118400000000000,1682899200000000000
20,3,2,25,0,4,1,39.0,953,False,True,True,False,2,4,3,2,1,3,0,1,1,1.57142857142857,42.9633333333333,3.18393169619607,7,20,6,7.596015537968688,1621728000000000000,1625097600000000000,1680307200000000000,1680307200000000000
51,1,0,11,5,1,5,106.0,1013,False,True,True,False,2,4,1,1,2,3,0,0,1,1.33333333333333,2.98999999999999,0.694312859445564,6,127,6,6.852718143052228,1616544000000000000,1625702400000000000,1675209600000000000,1688169600000000000
47,0,2,36,4,0,1,34.0,877,True,False,True,False,2,1,1,1,1,2,3,1,0,1.28571428571429,0.02,0.756960434688937,7,23,4,5.846207534450843,1628294400000000000,1631232000000000000,1685577600000000000,1685577600000000000
35,2,1,46,2,4,1,500.0,1296,False,True,True,False,2,4,0,0,0,2,4,2,1,1.5,54.412,2.30147730786908,6,2,4,6.062784708354025,1592092800000000000,1635292800000000000,1701388800000000000,1701388800000000000
37,0,2,37,2,4,2,134.0,975,False,True,False,False,2,5,1,1,2,2,3,1,1,1.57142857142857,19.4616666666667,1.92421083304156,7,8,6,7.382267479329504,1619827200000000000,1631404800000000000,1701388800000000000,1688169600000000000
37,1,0,76,2,1,5,346.0,742,False,True,True,False,2,4,1,4,3,2,3,1,0,1.75,67.58,2.37094273946834,8,12,2,6.712895445490077,1639958400000000000,1669852800000000000,1688169600000000000,1701388800000000000
54,0,2,48,5,2,5,189.0,785,False,True,False,False,2,5,2,0,1,0,0,3,0,1.2,-68.3625,0.287869643188639,5,1,2,6.159158811427802,1636243200000000000,1652572800000000000,1701388800000000000,1677628800000000000
61,2,1,32,6,4,4,0.0,1455,False,True,False,False,1,7,1,2,2,3,3,0,0,1.83333333333333,-0.907999999999998,0.80785354396483,6,14,4,5.610057704092888,1578355200000000000,-2208988800000000000,1698796800000000000,1698796800000000000
49,0,2,75,4,4,2,270.0,1022,False,True,False,False,2,5,1,0,0,1,7,1,2,1.71428571428571,306.448333333333,1.28327028260167,7,13,6,7.834883077156222,1615766400000000000,1639094400000000000,1680307200000000000,1701388800000000000
22,3,2,64,0,0,2,431.0,1088,True,False,False,False,2,2,0,1,0,1,3,5,1,1.375,-0.734285714285712,2.0269817680535,8,10,6,6.2293587703680995,1610064000000000000,1647302400000000000,1675209600000000000,1693526400000000000
35,3,2,10,2,0,2,286.0,959,True,False,False,False,2,2,0,1,1,2,0,1,0,1.25,-27.8266666666667,0.139153321587207,4,124,2,5.614841965359553,1621209600000000000,1645920000000000000,1682899200000000000,1685577600000000000
48,0,2,40,4,4,2,626.0,1039,False,True,False,False,2,5,3,1,1,3,4,0,0,2.0,-28.258,0.374521690849689,6,108,4,6.088704681533036,1614297600000000000,1668384000000000000,1677628800000000000,1677628800000000000
27,2,1,79,1,4,4,0.0,756,False,True,False,False,1,7,0,3,2,2,3,0,0,1.25,-6.98142857142857,0.496528261050446,8,22,4,6.240918913211988,1638748800000000000,-2208988800000000000,1696118400000000000,1696118400000000000
34,1,0,21,2,4,2,379.0,1074,False,True,False,False,2,5,1,2,2,1,1,2,0,1.125,-18.8114285714286,0.627696013357957,8,51,2,5.874874549498607,1611273600000000000,1644019200000000000,1696118400000000000,1696118400000000000
69,2,1,2,7,4,4,0.0,655,False,True,False,False,1,7,0,3,0,1,0,2,3,1.28571428571429,4.84833333333332,3.33496679665539,7,11,6,7.867293222159493,1647475200000000000,-2208988800000000000,1680307200000000000,1698796800000000000
37,0,2,86,2,0,4,0.0,1001,True,False,False,False,1,0,1,2,0,3,2,0,0,1.33333333333333,-56.416,-0.0633567338038175,6,96,3,5.752318638316266,1617580800000000000,-2208988800000000000,1672531200000000000,1672531200000000000
55,1,0,19,5,0,1,488.0,1343,True,False,True,False,2,1,1,2,1,2,0,0,1,1.16666666666667,228.12,2.09039027044266,6,5,6,7.126641781910226,1588032000000000000,1630195200000000000,1688169600000000000,1701388800000000000
28,0,2,1,1,2,5,375.0,1087,False,True,False,False,2,5,0,2,1,1,0,1,1,1.0,-5.004,11.8745577110484,6,9,6,6.215567637916892,1610150400000000000,1642550400000000000,1682899200000000000,1698796800000000000
18,2,1,77,0,4,1,317.0,1099,False,True,True,False,2,4,1,2,2,2,0,0,0,1.4,-15.6375,2.54035674565282,5,12,2,5.830003880981357,1609113600000000000,1636502400000000000,1677628800000000000,1698796800000000000
50,1,0,45,4,4,1,569.0,1087,False,True,True,False,2,4,1,1,0,1,0,1,1,1.66666666666667,-275.67,-0.4558129657152,3,77,6,6.014546106551303,1610150400000000000,1659312000000000000,1675209600000000000,1675209600000000000
51,2,1,14,5,4,4,0.0,1224,False,True,False,False,1,7,1,1,1,2,2,2,1,1.42857142857143,-315.11,-0.064041321704017,7,14,6,7.492370252718621,1598313600000000000,-2208988800000000000,1672531200000000000,1672531200000000000
